fecha,temperatura_c,precipitacion_mm,humedad_pct
2015-01-01,15.65,0.13,86.23
2015-01-02,15.13,0.04,82.36
2015-01-03,15.31,0.06,80.33
2015-01-04,15.44,0.46,81.18
2015-01-05,15.67,1.1,80.83
2015-01-06,15.13,0.57,77.79
2015-01-07,13.97,0.0,75.06
2015-01-08,14.25,0.02,79.39
2015-01-09,15.88,0.0,83.73
2015-01-10,16.15,0.35,82.12
2015-01-11,16.38,0.61,84.27
2015-01-12,17.17,0.17,82.22
2015-01-13,16.41,0.35,83.11
2015-01-14,16.75,1.92,87.84
2015-01-15,15.94,4.66,89.8
2015-01-16,15.59,1.88,89.98
2015-01-17,15.58,12.62,89.88
2015-01-18,16.14,3.09,87.79
2015-01-19,15.53,4.07,91.09
2015-01-20,15.31,4.38,89.1
2015-01-21,15.53,9.22,90.75
2015-01-22,15.5,8.49,91.06
2015-01-23,14.95,3.75,89.54
2015-01-24,15.66,10.0,88.14
2015-01-25,16.27,0.09,85.06
2015-01-26,16.46,0.06,86.38
2015-01-27,16.15,0.54,90.44
2015-01-28,16.49,0.15,83.67
2015-01-29,15.78,0.05,84.72
2015-01-30,16.21,1.52,85.82
2015-01-31,15.63,11.92,94.83
2015-02-01,16.03,5.68,88.33
2015-02-02,16.02,0.46,83.91
2015-02-03,16.74,0.46,84.19
2015-02-04,16.53,0.5,83.01
2015-02-05,16.51,2.27,86.84
2015-02-06,15.77,18.02,93.07
2015-02-07,15.27,12.32,93.07
2015-02-08,15.69,27.73,91.35
2015-02-09,15.42,5.98,89.47
2015-02-10,15.28,9.73,88.96
2015-02-11,15.73,4.39,91.2
2015-02-12,16.02,2.04,89.92
2015-02-13,16.28,4.14,90.67
2015-02-14,16.45,0.23,88.0
2015-02-15,16.69,1.96,87.25
2015-02-16,17.12,2.07,86.48
2015-02-17,17.14,4.07,84.1
2015-02-18,17.32,9.3,82.22
2015-02-19,16.84,1.26,89.04
2015-02-20,16.41,2.0,89.11
2015-02-21,16.73,1.67,87.29
2015-02-22,16.82,0.01,82.38
2015-02-23,16.67,1.01,82.33
2015-02-24,16.82,3.84,85.73
2015-02-25,16.95,0.0,86.14
2015-02-26,16.5,1.02,87.69
2015-02-27,16.13,2.27,87.92
2015-02-28,17.15,4.29,84.89
2015-03-01,16.63,1.44,88.73
2015-03-02,16.39,5.29,89.86
2015-03-03,16.65,2.34,88.74
2015-03-04,16.64,0.91,87.46
2015-03-05,16.75,1.15,85.12
2015-03-06,16.22,4.55,89.93
2015-03-07,16.23,9.58,88.44
2015-03-08,17.27,0.63,83.15
2015-03-09,17.45,1.86,83.93
2015-03-10,17.37,2.89,86.14
2015-03-11,18.11,1.93,84.5
2015-03-12,17.47,2.39,87.18
2015-03-13,16.36,4.63,89.66
2015-03-14,16.55,7.1,90.01
2015-03-15,16.73,4.18,89.05
2015-03-16,16.84,5.69,88.04
2015-03-17,15.91,8.19,94.01
2015-03-18,14.07,13.31,89.54
2015-03-19,15.78,6.54,88.53
2015-03-20,15.18,8.29,89.94
2015-03-21,14.9,18.04,86.82
2015-03-22,15.38,1.74,88.7
2015-03-23,16.45,3.62,86.56
2015-03-24,16.55,11.64,87.19
2015-03-25,15.84,4.34,93.99
2015-03-26,15.83,4.83,91.01
2015-03-27,16.77,0.6,85.97
2015-03-28,16.15,6.85,93.69
2015-03-29,15.54,21.36,90.62
2015-03-30,16.38,11.11,88.68
2015-03-31,16.88,4.02,85.4
2015-04-01,16.93,0.89,86.86
2015-04-02,16.85,3.2,87.95
2015-04-03,16.44,4.6,87.33
2015-04-04,15.94,4.7,91.55
2015-04-05,16.03,6.59,90.05
2015-04-06,16.14,0.82,88.17
2015-04-07,17.04,3.38,85.3
2015-04-08,16.01,7.38,89.27
2015-04-09,16.61,1.23,84.14
2015-04-10,16.58,4.2,89.62
2015-04-11,16.16,5.62,87.75
2015-04-12,17.17,1.11,84.26
2015-04-13,17.08,4.01,86.02
2015-04-14,16.38,17.7,91.35
2015-04-15,15.52,25.52,94.3
2015-04-16,16.0,15.58,89.58
2015-04-17,16.12,9.44,89.8
2015-04-18,16.29,6.16,90.17
2015-04-19,15.69,5.51,91.21
2015-04-20,15.99,5.61,89.87
2015-04-21,16.35,10.7,88.7
2015-04-22,16.48,0.69,87.77
2015-04-23,16.81,1.58,85.49
2015-04-24,16.49,1.72,88.4
2015-04-25,16.33,5.82,88.79
2015-04-26,16.26,0.62,85.65
2015-04-27,17.47,0.48,84.19
2015-04-28,17.48,0.28,83.57
2015-04-29,17.04,1.06,85.92
2015-04-30,16.48,1.83,87.08
2015-05-01,16.27,4.3,90.51
2015-05-02,16.75,3.51,86.02
2015-05-03,15.16,11.84,93.11
2015-05-04,16.3,2.9,84.59
2015-05-05,16.84,0.41,83.89
2015-05-06,16.46,0.42,85.23
2015-05-07,17.2,0.28,84.35
2015-05-08,17.37,0.07,83.36
2015-05-09,17.2,2.1,85.7
2015-05-10,16.81,5.18,88.14
2015-05-11,17.2,0.16,82.84
2015-05-12,17.26,0.22,82.74
2015-05-13,17.68,1.5,83.55
2015-05-14,16.08,4.9,87.23
2015-05-15,16.25,5.11,88.26
2015-05-16,16.42,3.65,88.26
2015-05-17,16.62,3.06,89.27
2015-05-18,16.9,3.26,87.17
2015-05-19,16.9,0.6,83.29
2015-05-20,16.7,4.31,84.81
2015-05-21,16.08,5.74,89.66
2015-05-22,16.74,3.44,87.01
2015-05-23,16.75,0.89,85.62
2015-05-24,16.38,2.35,85.04
2015-05-25,16.29,7.31,89.53
2015-05-26,16.59,4.25,87.9
2015-05-27,16.67,0.86,86.01
2015-05-28,15.42,6.43,92.64
2015-05-29,16.32,6.86,88.14
2015-05-30,16.67,3.32,88.31
2015-05-31,16.55,2.09,87.0
2015-06-01,16.83,2.06,85.33
2015-06-02,16.0,1.54,83.24
2015-06-03,15.81,1.92,82.94
2015-06-04,16.13,2.6,83.9
2015-06-05,16.27,1.81,86.77
2015-06-06,16.1,0.46,83.52
2015-06-07,16.27,0.48,83.63
2015-06-08,16.17,2.5,84.99
2015-06-09,15.78,6.83,91.28
2015-06-10,16.3,12.78,88.75
2015-06-11,15.84,1.27,85.21
2015-06-12,16.18,0.87,83.34
2015-06-13,16.35,1.78,85.33
2015-06-14,16.57,1.2,85.74
2015-06-15,16.81,2.39,85.76
2015-06-16,16.71,0.85,81.86
2015-06-17,15.88,0.35,82.42
2015-06-18,16.4,0.12,81.06
2015-06-19,15.89,0.05,79.04
2015-06-20,15.93,0.01,82.08
2015-06-21,15.8,1.73,82.31
2015-06-22,16.12,1.12,83.18
2015-06-23,16.19,0.03,79.21
2015-06-24,16.45,0.01,79.11
2015-06-25,15.88,0.02,79.64
2015-06-26,16.06,0.37,80.66
2015-06-27,15.85,0.49,80.59
2015-06-28,16.01,0.3,79.84
2015-06-29,15.86,0.08,83.75
2015-06-30,16.62,0.03,80.63
2015-07-01,16.44,0.03,79.69
2015-07-02,17.25,0.11,76.64
2015-07-03,16.69,0.47,78.19
2015-07-04,16.54,6.62,83.7
2015-07-05,16.44,4.54,84.66
2015-07-06,16.3,0.61,82.23
2015-07-07,15.89,3.23,84.69
2015-07-08,15.82,6.39,86.72
2015-07-09,16.17,2.58,85.62
2015-07-10,16.69,0.41,80.18
2015-07-11,15.92,0.77,80.86
2015-07-12,15.08,1.14,82.79
2015-07-13,16.3,0.28,75.62
2015-07-14,16.44,2.89,85.35
2015-07-15,15.97,5.97,89.19
2015-07-16,16.12,0.94,81.19
2015-07-17,16.28,1.51,80.55
2015-07-18,15.86,4.34,84.29
2015-07-19,15.58,5.15,84.89
2015-07-20,15.52,14.71,91.36
2015-07-21,15.88,8.61,86.55
2015-07-22,15.85,6.75,88.42
2015-07-23,15.62,1.48,81.21
2015-07-24,15.79,0.09,76.66
2015-07-25,15.52,0.03,73.47
2015-07-26,16.01,0.25,76.45
2015-07-27,16.11,1.67,81.55
2015-07-28,16.34,1.74,82.64
2015-07-29,16.28,2.21,83.73
2015-07-30,15.45,2.74,80.4
2015-07-31,16.48,0.81,79.43
2015-08-01,16.34,0.32,78.23
2015-08-02,16.54,0.1,77.25
2015-08-03,17.13,0.06,74.71
2015-08-04,17.03,0.16,76.54
2015-08-05,16.97,0.11,76.87
2015-08-06,16.82,0.19,74.5
2015-08-07,17.18,0.63,79.69
2015-08-08,16.13,4.61,82.68
2015-08-09,15.49,5.02,86.44
2015-08-10,16.46,1.23,80.93
2015-08-11,15.47,2.97,83.27
2015-08-12,16.24,0.11,74.92
2015-08-13,16.39,1.86,76.96
2015-08-14,16.89,4.81,83.17
2015-08-15,17.07,5.3,83.8
2015-08-16,16.87,1.75,84.57
2015-08-17,17.04,1.99,82.05
2015-08-18,17.03,2.78,81.19
2015-08-19,16.99,0.53,77.23
2015-08-20,16.51,4.48,81.6
2015-08-21,17.09,3.82,80.58
2015-08-22,16.99,0.43,79.28
2015-08-23,17.07,12.38,87.63
2015-08-24,16.6,10.4,87.53
2015-08-25,16.98,6.27,84.42
2015-08-26,16.91,2.26,84.55
2015-08-27,16.29,3.05,86.65
2015-08-28,16.38,4.66,84.61
2015-08-29,15.88,1.41,78.71
2015-08-30,16.21,1.11,78.38
2015-08-31,16.37,0.17,74.93
2015-09-01,15.98,1.32,76.67
2015-09-02,16.11,1.56,79.41
2015-09-03,16.45,0.99,78.13
2015-09-04,17.11,0.23,76.92
2015-09-05,17.53,2.19,80.28
2015-09-06,17.18,3.45,83.8
2015-09-07,17.7,0.35,78.81
2015-09-08,18.18,0.3,79.45
2015-09-09,17.6,2.0,81.18
2015-09-10,16.4,7.14,90.43
2015-09-11,16.23,8.41,89.72
2015-09-12,16.56,2.33,81.0
2015-09-13,16.38,0.0,69.92
2015-09-14,16.12,0.0,72.52
2015-09-15,17.51,0.11,73.3
2015-09-16,17.16,3.62,73.46
2015-09-17,16.36,13.13,84.13
2015-09-18,16.42,7.5,92.02
2015-09-19,16.57,9.85,87.99
2015-09-20,16.5,3.6,84.25
2015-09-21,15.89,1.61,80.29
2015-09-22,16.55,0.8,77.42
2015-09-23,16.68,0.94,77.01
2015-09-24,17.25,1.67,79.56
2015-09-25,17.13,0.43,75.06
2015-09-26,17.34,1.32,77.34
2015-09-27,16.64,0.15,73.77
2015-09-28,16.07,0.01,67.47
2015-09-29,16.89,0.28,78.94
2015-09-30,16.76,1.39,81.83
2015-10-01,15.42,3.41,90.04
2015-10-02,15.94,3.36,87.35
2015-10-03,16.87,1.48,83.55
2015-10-04,17.61,0.73,80.0
2015-10-05,17.8,2.69,79.38
2015-10-06,17.38,1.12,79.5
2015-10-07,17.74,0.67,77.44
2015-10-08,16.42,3.86,88.6
2015-10-09,16.84,1.16,83.71
2015-10-10,16.6,9.41,89.36
2015-10-11,16.75,5.37,83.91
2015-10-12,16.19,5.85,91.88
2015-10-13,15.79,18.36,95.29
2015-10-14,15.84,22.4,91.64
2015-10-15,16.55,4.95,90.95
2015-10-16,15.58,18.21,91.39
2015-10-17,15.69,3.96,85.8
2015-10-18,16.42,1.09,83.98
2015-10-19,16.43,5.07,84.3
2015-10-20,16.35,4.93,81.8
2015-10-21,15.77,1.69,81.15
2015-10-22,16.56,4.47,82.94
2015-10-23,17.27,9.38,87.39
2015-10-24,15.74,19.55,91.1
2015-10-25,15.28,4.32,91.35
2015-10-26,15.04,3.54,85.87
2015-10-27,15.66,3.97,86.26
2015-10-28,15.88,1.76,82.92
2015-10-29,15.93,8.7,88.1
2015-10-30,15.79,12.77,90.74
2015-10-31,15.18,3.64,92.31
2015-11-01,15.7,9.63,91.64
2015-11-02,15.13,8.3,89.19
2015-11-03,15.58,0.73,86.13
2015-11-04,15.92,7.79,90.86
2015-11-05,14.96,18.47,94.38
2015-11-06,15.43,11.29,90.33
2015-11-07,15.71,11.6,91.91
2015-11-08,15.72,10.65,91.64
2015-11-09,15.97,4.56,86.56
2015-11-10,16.58,2.15,85.76
2015-11-11,16.18,0.53,83.26
2015-11-12,15.8,0.56,86.32
2015-11-13,16.32,0.49,87.67
2015-11-14,17.04,0.18,86.08
2015-11-15,16.43,0.64,88.02
2015-11-16,15.17,1.02,89.61
2015-11-17,14.37,7.26,92.96
2015-11-18,15.44,7.57,91.3
2015-11-19,16.28,8.65,90.95
2015-11-20,16.64,4.7,90.5
2015-11-21,15.93,15.82,94.5
2015-11-22,16.11,11.19,91.5
2015-11-23,16.73,2.4,87.99
2015-11-24,16.5,5.95,90.21
2015-11-25,16.43,8.84,89.05
2015-11-26,16.72,1.03,86.06
2015-11-27,16.26,3.86,91.98
2015-11-28,16.46,0.36,88.64
2015-11-29,17.48,0.25,86.4
2015-11-30,16.94,0.05,86.09
2015-12-01,16.96,0.03,82.29
2015-12-02,16.01,0.07,80.76
2015-12-03,16.52,1.05,82.56
2015-12-04,15.88,8.9,91.85
2015-12-05,16.14,0.6,84.96
2015-12-06,16.69,0.06,84.31
2015-12-07,15.96,0.02,87.41
2015-12-08,15.89,0.02,86.04
2015-12-09,16.08,1.84,89.9
2015-12-10,16.63,1.28,85.47
2015-12-11,15.83,0.04,76.55
2015-12-12,16.13,0.22,77.32
2015-12-13,16.43,1.04,84.67
2015-12-14,16.12,1.76,90.04
2015-12-15,15.68,1.95,93.26
2015-12-16,15.61,0.46,84.54
2015-12-17,16.11,1.62,84.91
2015-12-18,16.21,0.24,83.73
2015-12-19,16.3,2.16,88.26
2015-12-20,17.04,0.13,82.41
2015-12-21,16.81,0.08,79.54
2015-12-22,17.13,0.17,80.11
2015-12-23,17.51,0.43,81.91
2015-12-24,16.75,0.21,77.91
2015-12-25,17.12,0.46,78.69
2015-12-26,16.69,1.28,79.21
2015-12-27,16.42,0.25,80.46
2015-12-28,16.32,0.01,79.94
2015-12-29,17.52,0.02,80.78
2015-12-30,18.14,0.02,80.72
2015-12-31,17.98,0.11,79.33
2016-01-01,17.25,0.26,80.8
2016-01-02,16.85,0.94,85.59
2016-01-03,16.35,2.76,85.87
2016-01-04,15.82,4.02,91.39
2016-01-05,16.12,0.84,85.96
2016-01-06,16.54,5.89,91.64
2016-01-07,17.3,1.33,83.01
2016-01-08,17.32,0.36,85.61
2016-01-09,17.87,0.85,82.78
2016-01-10,16.95,1.47,89.08
2016-01-11,16.06,3.13,85.59
2016-01-12,16.95,1.03,85.91
2016-01-13,17.53,1.26,84.97
2016-01-14,17.61,0.36,82.95
2016-01-15,17.88,0.01,79.1
2016-01-16,17.96,0.03,76.75
2016-01-17,18.33,0.12,79.24
2016-01-18,18.62,0.0,75.56
2016-01-19,17.95,0.0,78.59
2016-01-20,17.61,0.31,78.91
2016-01-21,17.82,0.52,85.48
2016-01-22,18.07,0.0,82.39
2016-01-23,17.81,0.0,85.28
2016-01-24,18.26,1.91,82.17
2016-01-25,18.17,1.52,79.63
2016-01-26,17.99,0.49,74.9
2016-01-27,18.05,2.16,80.23
2016-01-28,17.49,3.2,74.15
2016-01-29,17.8,2.67,80.74
2016-01-30,17.31,1.8,80.94
2016-01-31,17.54,0.01,79.44
2016-02-01,18.1,0.03,78.68
2016-02-02,17.52,0.26,75.12
2016-02-03,18.11,1.0,79.22
2016-02-04,17.47,3.12,88.86
2016-02-05,16.71,1.93,87.11
2016-02-06,18.06,0.11,78.74
2016-02-07,17.87,1.02,78.36
2016-02-08,18.26,3.15,83.49
2016-02-09,18.11,3.06,82.91
2016-02-10,18.27,3.28,82.66
2016-02-11,17.16,1.55,82.59
2016-02-12,17.56,1.4,78.8
2016-02-13,18.14,1.75,80.21
2016-02-14,18.61,4.46,80.18
2016-02-15,18.78,0.0,76.98
2016-02-16,19.11,0.26,77.95
2016-02-17,18.52,2.45,84.65
2016-02-18,17.9,0.36,87.73
2016-02-19,18.64,0.84,80.97
2016-02-20,18.8,0.74,78.86
2016-02-21,17.75,8.8,90.34
2016-02-22,16.98,12.39,89.14
2016-02-23,17.05,2.91,89.27
2016-02-24,17.68,4.31,84.5
2016-02-25,17.07,2.24,89.47
2016-02-26,17.91,1.11,83.23
2016-02-27,18.98,0.24,79.65
2016-02-28,19.17,0.49,80.24
2016-02-29,19.33,0.5,78.46
2016-03-01,18.87,0.23,80.6
2016-03-02,18.87,2.34,82.26
2016-03-03,18.66,5.26,82.34
2016-03-04,17.31,9.33,90.93
2016-03-05,17.16,3.54,81.87
2016-03-06,16.44,3.88,92.61
2016-03-07,16.24,7.99,85.24
2016-03-08,17.02,5.78,85.67
2016-03-09,17.79,2.02,84.32
2016-03-10,17.15,4.2,89.28
2016-03-11,17.27,4.34,88.0
2016-03-12,17.44,2.57,86.62
2016-03-13,16.82,2.74,88.92
2016-03-14,17.0,7.87,85.66
