codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-01,92.58333333333333,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-01,95.375,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-01,91.29166666666667,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-02,85.16666666666667,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-02,92.82608695652173,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-02,88.70833333333333,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-03,83.70833333333333,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-03,91.0,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-03,83.29166666666667,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-03,90.11529541666667,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-04,55.114204821428565,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-04,79.95833333333333,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-04,87.95454545454545,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-04,87.31818181818183,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-04,75.75833560869565,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-05,65.22434522988506,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-05,77.79166666666667,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-05,91.04166666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-05,93.0,%
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2018-01-05,73.80787981481481,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-06,77.66347482638889,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-06,83.66666666666667,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-06,89.16666666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-06,94.41666666666667,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-07,77.4142567361111,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-07,79.41666666666667,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-07,90.69565217391305,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-07,90.33333333333333,%
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2018-01-08,72.493525,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2018-01-08,74.45833333333333,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2018-01-08,86.54166666666667,%
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2018-01-08,92.29166666666667,%
