codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-01,21.720432118055555,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-01,21.820833333333333,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2022-01-01,17.65833333333333,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-01,22.924442638888888,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-02,21.550936076388886,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-02,21.879166666666663,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2022-01-02,17.570833333333333,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-02,22.915453541666665,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-03,21.140483472222225,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-03,21.2125,°C
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2022-01-03,15.26,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-03,22.30116013888889,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-04,21.66717298611111,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-04,22.1,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-04,23.534876875,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-05,20.962333368055557,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-05,21.279166666666665,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-05,22.262352777777775,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-06,20.099788229166663,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-06,20.28333333333333,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-06,21.315288819444444,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-07,20.026153368055557,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-07,20.195833333333333,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-07,21.15248875,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-08,19.83880748344371,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-08,19.85,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-08,20.88514562913907,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-10,20.342563148148148,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2022-01-10,20.441666666666663,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2022-01-10,21.86275185185185,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2022-01-11,20.28187357638889,°C
