codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-01,4.4,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-01,10.435,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-01,4.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-01,11.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-01,9.2,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-01,1.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-02,5.5,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-02,5.712,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-02,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-02,3.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-02,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-02,1.3,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-03,1.4,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-03,2.204,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-03,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-03,1.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-03,0.1,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-03,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-04,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-04,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-04,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-04,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-04,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-04,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-05,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-05,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-05,0.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-05,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-05,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-05,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-06,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-07,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-08,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-09,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-09,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-09,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-09,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-09,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-09,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-10,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-11,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-11,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-11,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-11,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-11,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-11,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-12,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-12,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-12,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2020-01-12,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2020-01-12,0.0,mm
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2020-01-12,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2020-01-13,0.0,mm
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2020-01-13,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2020-01-13,0.0,mm
