codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-01,21.252888506944444,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-01,22.025,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-01,22.902638020833333,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-02,21.719584027777778,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-02,22.2125,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-02,23.24937079861111,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-03,20.571001354166665,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-03,20.54375,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-03,21.758333506944442,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-04,18.60619879310345,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-04,19.03,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-04,19.19717304347826,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-09,20.510231683673467,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-09,20.52857142857143,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-09,22.30522847715736,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-10,21.149070902777776,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-10,22.683333333333334,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-10,22.104887222222224,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-11,21.187715590277776,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-11,22.23125,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-11,22.6187559375,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-12,21.764370902777777,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-12,22.160869565217393,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-12,23.180269236111112,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-13,21.899843194444443,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-13,22.4,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-13,23.202112638888888,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-14,21.385319576271183,°C
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2021-01-14,22.052941176470586,°C
0026135501,EL PILAMO  - AUT,RISARALDA,PEREIRA,2021-01-14,21.89862795744681,°C
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2021-01-15,21.73685147727273,°C
