metric,value
p_monotonic_decreasing,1.0
rho_monotonic_decreasing,1.0
max_rel_error_ideal_gas_%,3.750934212296239e-14
mean_rel_error_ideal_gas_%,5.885177537219596e-15
max_rel_error_hydrostatic_%,0.8756936462775412
mean_rel_error_hydrostatic_%,0.005078759767530232
T_err_%_at_0km,0.0
p_err_%_at_0km,0.0
rho_err_%_at_0km,0.0010013053628148733
T_err_%_at_11km,1.3118721177200095e-14
p_err_%_at_11km,0.0017633806541012568
rho_err_%_at_11km,0.004350804297536918
T_err_%_at_20km,1.3118721177200095e-14
p_err_%_at_20km,0.0033299498193731314
rho_err_%_at_20km,0.037495960923357066
T_err_%_at_32km,1.2430224985962827e-14
p_err_%_at_32km,0.005245466343187842
rho_err_%_at_32km,0.04181785710668663
T_err_%_at_47km,0.0
p_err_%_at_47km,0.010626595047588323
rho_err_%_at_47km,0.031088896631424747
T_err_%_at_51km,0.0
p_err_%_at_51km,0.009519412488427416
rho_err_%_at_51km,0.006195868797049963
T_err_%_at_71km,1.3240954777733056e-14
p_err_%_at_71km,0.00023642532322416677
rho_err_%_at_71km,0.007318816670506058
T_err_%_at_86km,1.1879916519505684
p_err_%_at_86km,19.044352418605655
rho_err_%_at_86km,18.034672749808554
