variable,descripcion,unidad,month,month_name,clim_mean,clim_std
t2m,Temperatura 2 m,°C,1,Ene,19.50579285667127,0.8129643672705491
t2m,Temperatura 2 m,°C,2,Feb,19.732964801139094,0.8165503757077222
t2m,Temperatura 2 m,°C,3,Mar,19.730204239046394,0.7208642526406842
t2m,Temperatura 2 m,°C,4,Abr,19.694975670463155,0.6269708009846195
t2m,Temperatura 2 m,°C,5,May,19.681102714283377,0.655474874372554
t2m,Temperatura 2 m,°C,6,Jun,19.512421360646385,0.6457200842685444
t2m,Temperatura 2 m,°C,7,Jul,19.60191639746095,0.6516949261914574
t2m,Temperatura 2 m,°C,8,Ago,19.733991721516016,0.5967253974709393
t2m,Temperatura 2 m,°C,9,Sep,19.69672841887111,0.7034960307827037
t2m,Temperatura 2 m,°C,10,Oct,19.369845735603917,0.5331703334484654
t2m,Temperatura 2 m,°C,11,Nov,19.217401234192494,0.546936419563794
t2m,Temperatura 2 m,°C,12,Dic,19.36131131914358,0.6315336717542708
sp,Presión superficial,hPa,1,Ene,847.6168159995232,0.5286873299323077
sp,Presión superficial,hPa,2,Feb,847.5593117388162,0.5064961532929096
sp,Presión superficial,hPa,3,Mar,847.7064949803264,0.5061069344724356
sp,Presión superficial,hPa,4,Abr,847.9089088108468,0.3705353627347886
sp,Presión superficial,hPa,5,May,848.2974958632486,0.40848047743964233
sp,Presión superficial,hPa,6,Jun,848.397345611082,0.4282938930328782
sp,Presión superficial,hPa,7,Jul,848.3922887788344,0.3936080231690404
sp,Presión superficial,hPa,8,Ago,848.312841455912,0.42187743454128873
sp,Presión superficial,hPa,9,Sep,848.1814657216023,0.3896777130327826
sp,Presión superficial,hPa,10,Oct,848.014172195528,0.36296414462809684
sp,Presión superficial,hPa,11,Nov,847.6079169707261,0.4113360700088495
sp,Presión superficial,hPa,12,Dic,847.5303819393223,0.3578080939826858
u10,Viento zonal 10 m (u),m s$^{-1}$,1,Ene,0.034450001758195875,0.07254357015060123
u10,Viento zonal 10 m (u),m s$^{-1}$,2,Feb,0.015482989088364261,0.06060516414570472
u10,Viento zonal 10 m (u),m s$^{-1}$,3,Mar,0.018041809149613428,0.06094599972331177
u10,Viento zonal 10 m (u),m s$^{-1}$,4,Abr,0.03391898195776086,0.041238927232999545
u10,Viento zonal 10 m (u),m s$^{-1}$,5,May,0.03268344945118069,0.04555321418425847
u10,Viento zonal 10 m (u),m s$^{-1}$,6,Jun,-0.008337476311532865,0.04501068166346167
u10,Viento zonal 10 m (u),m s$^{-1}$,7,Jul,-0.03409333804304879,0.04485481004516725
u10,Viento zonal 10 m (u),m s$^{-1}$,8,Ago,-0.037258542118546,0.04902481933356235
u10,Viento zonal 10 m (u),m s$^{-1}$,9,Sep,-0.03627285197150808,0.04655424819516004
u10,Viento zonal 10 m (u),m s$^{-1}$,10,Oct,0.07470011462464082,0.07434792298303566
u10,Viento zonal 10 m (u),m s$^{-1}$,11,Nov,0.15989039407550942,0.07210607490846424
u10,Viento zonal 10 m (u),m s$^{-1}$,12,Dic,0.08877169612218473,0.08990561395254061
v10,Viento meridional 10 m (v),m s$^{-1}$,1,Ene,-0.06265895875436901,0.05959677138993
v10,Viento meridional 10 m (v),m s$^{-1}$,2,Feb,-0.056675782736914405,0.05438794381986001
v10,Viento meridional 10 m (v),m s$^{-1}$,3,Mar,-0.023712256167620575,0.0462307892591516
v10,Viento meridional 10 m (v),m s$^{-1}$,4,Abr,0.029949760430521524,0.03656983228761531
v10,Viento meridional 10 m (v),m s$^{-1}$,5,May,0.07809964473650448,0.04242446086194258
v10,Viento meridional 10 m (v),m s$^{-1}$,6,Jun,0.15874001777475455,0.07734417923852033
v10,Viento meridional 10 m (v),m s$^{-1}$,7,Jul,0.23934240070359808,0.08291735010396203
v10,Viento meridional 10 m (v),m s$^{-1}$,8,Ago,0.21372444848824293,0.09056747200995281
v10,Viento meridional 10 m (v),m s$^{-1}$,9,Sep,0.09883993452031999,0.0649204010102308
v10,Viento meridional 10 m (v),m s$^{-1}$,10,Oct,-0.027196415118498758,0.05306519988347168
v10,Viento meridional 10 m (v),m s$^{-1}$,11,Nov,-0.10015494210617094,0.051411605908618624
v10,Viento meridional 10 m (v),m s$^{-1}$,12,Dic,-0.07196797933003297,0.06552689290368603
ws10,Rapidez del viento 10 m,m s$^{-1}$,1,Ene,0.5964371393106724,0.03945165696759499
ws10,Rapidez del viento 10 m,m s$^{-1}$,2,Feb,0.5923102732327628,0.04766945283658406
ws10,Rapidez del viento 10 m,m s$^{-1}$,3,Mar,0.5401148405217018,0.05897579415226897
ws10,Rapidez del viento 10 m,m s$^{-1}$,4,Abr,0.5132383285485884,0.05442490225370059
ws10,Rapidez del viento 10 m,m s$^{-1}$,5,May,0.5497594743575528,0.056510113439960305
ws10,Rapidez del viento 10 m,m s$^{-1}$,6,Jun,0.6851943315015843,0.07974667386340575
ws10,Rapidez del viento 10 m,m s$^{-1}$,7,Jul,0.7827141673378293,0.08249302130480285
ws10,Rapidez del viento 10 m,m s$^{-1}$,8,Ago,0.7715868926062049,0.08102470009561634
ws10,Rapidez del viento 10 m,m s$^{-1}$,9,Sep,0.6646985066040733,0.06222877942122495
ws10,Rapidez del viento 10 m,m s$^{-1}$,10,Oct,0.526037407836806,0.04347324786888964
ws10,Rapidez del viento 10 m,m s$^{-1}$,11,Nov,0.532444912232978,0.050859535192102116
ws10,Rapidez del viento 10 m,m s$^{-1}$,12,Dic,0.5734520070914111,0.04629039798363302
