pressure_level_hpa,rmse_u_ms,rmse_v_ms,rmse_vector_ms,bias_u_ms,bias_v_ms,corr_u,corr_v,mae_speed_ms,mean_ws_era_ms,mean_ws_geo_ms,relative_speed_error,mean_angle_diff_deg,n_valid
1000.0000,115.5667,237.3415,263.9823,-15.2083,-27.9488,-0.2226,-0.2806,229.8885,0.5194,230.4080,442.5658,108.0652,49
925.0000,78.6241,165.4394,183.1719,-16.3069,-16.8295,-0.0164,-0.1669,158.7057,0.6105,159.3162,259.9409,103.9983,49
850.0000,41.1224,96.8317,105.2019,-18.5355,-8.0999,0.3214,-0.5080,84.9002,1.0049,85.9051,84.4885,106.8190,49
700.0000,16.0276,37.3949,40.6849,-6.2643,-2.7636,-0.0642,-0.4737,29.3377,2.2155,31.4412,13.2419,84.3915,49
600.0000,12.1228,36.3087,38.2791,-0.0038,-9.0224,0.2359,-0.3285,23.9223,3.9094,27.5913,6.1192,80.5618,49
500.0000,12.5980,35.3372,37.5156,4.6237,-12.7579,0.3034,-0.2938,21.3426,4.6178,25.7243,4.6218,93.3182,49
400.0000,12.6575,34.9845,37.2039,4.6821,-14.3213,0.3378,-0.2284,21.3689,4.1534,25.2045,5.1449,94.9265,49
300.0000,11.2411,33.7945,35.6151,2.9233,-14.1376,0.4165,-0.2587,20.7487,3.3068,23.8952,6.2746,97.2794,49
250.0000,10.6101,32.8747,34.5445,2.5354,-14.2293,0.4791,-0.2813,20.5245,2.8132,23.2064,7.2957,100.3808,49
200.0000,9.7851,32.1642,33.6197,1.6608,-14.6090,0.5103,-0.1659,21.5377,1.5436,23.0654,13.9525,98.9851,49
150.0000,10.1202,31.1765,32.7779,-2.4516,-12.8830,0.1836,-0.0488,21.6587,0.8582,22.5169,25.2375,87.0627,49
100.0000,9.8860,29.2658,30.8905,-0.9245,-12.6678,0.0474,-0.0941,20.5694,0.8994,21.4688,22.8690,84.8679,49
70.0000,9.9479,29.4825,31.1156,1.0699,-12.8359,-0.0879,-0.1353,19.8326,1.7201,21.5527,11.5299,86.6262,49
50.0000,9.9792,29.6141,31.2503,1.0610,-13.0068,-0.1916,-0.1114,19.9045,1.7505,21.6549,11.3709,88.0782,49
