pressure_hpa,z_m,z_km,T_era5_K,T_era5_C,T_isa_K,T_isa_C,dT_era5_minus_isa_K
1000.0000,116.4606,0.1165,300.2715,27.1215,287.3930,14.2430,12.8785
925.0000,782.7214,0.7827,296.0924,22.9424,283.0623,9.9123,13.0301
850.0000,1504.7531,1.5048,291.7751,18.6251,278.3691,5.2191,13.4060
700.0000,3144.0767,3.1441,282.9724,9.8224,267.7135,-5.4365,15.2589
600.0000,4409.9675,4.4100,275.7323,2.5823,259.4852,-13.6648,16.2471
500.0000,5864.8676,5.8649,267.9933,-5.1567,250.0284,-23.1216,17.9649
400.0000,7584.7991,7.5848,257.6615,-15.4885,238.8488,-34.3012,18.8127
300.0000,9692.6287,9.6926,242.4620,-30.6880,225.1479,-48.0021,17.3140
250.0000,10960.0157,10.9600,232.3764,-40.7736,216.9099,-56.2401,15.4665
200.0000,12437.2122,12.4372,220.0398,-53.1102,216.6500,-56.5000,3.3898
150.0000,14226.6066,14.2266,205.3670,-67.7830,216.6500,-56.5000,-11.2830
100.0000,16575.4185,16.5754,192.7243,-80.4257,216.6500,-56.5000,-23.9257
70.0000,18602.5045,18.6025,198.1589,-74.9911,216.6500,-56.5000,-18.4911
50.0000,20595.2966,20.5953,206.0297,-67.1203,217.2453,-55.9047,-11.2156
