pressure_hpa,z_m,z_km,T_regional_K,T_regional_C,T_isa_interp_K,T_diff_regional_minus_isa_K
1000.0,116.45968,0.116459675,300.27142,27.12143,287.3930120887756,12.878411251068144
925.0,782.7206,0.78272057,296.09232,22.942322,283.06231622314453,13.02999945068359
850.0,1504.7521,1.504752,291.77505,18.625061,278.36911151123047,13.405943420410154
700.0,3144.0762,3.144076,282.9724,9.822418,267.71350488281246,15.258907226562542
600.0,4409.9673,4.4099674,275.73233,2.5823364,259.48521264648434,16.247117675781283
500.0,5864.867,5.864867,267.99332,-5.1566772,250.02836328125,17.96495336914063
400.0,7584.7993,7.5847993,257.6615,-15.488495,238.84880444335934,18.81269458007816
300.0,9692.629,9.692629,242.46196,-30.688034,225.14791210937497,17.314047729492216
250.0,10960.016,10.960015,232.37639,-40.773605,216.9098984375,15.466490112304683
200.0,12437.212,12.437212,220.03978,-53.110214,216.65,3.389779663085932
150.0,14226.607,14.226607,205.36693,-67.783066,216.65,-11.283071899414068
100.0,16575.418,16.575418,192.7243,-80.42569,216.65,-23.925695800781256
